country,region_name,scenario,period,stress_index,yield_loss_pct,volume_at_risk_mt,annual_mt,sourcing_pct,scenario_name,year,risk_bucket
Brazil,Espírito Santo,ssp585,mid_term,0.14498574463411934,0.07249287231705967,376.9629360487103,5200,3.0,Current Policies,2050,Low Risk (<20%)
Guatemala,Huehuetenango,ssp126,near_term,0.03543458877375815,0.017717294386879075,152.36873172716005,8600,5.0,Net-Zero 2050,2030,Low Risk (<20%)
Guatemala,Huehuetenango,ssp126,mid_term,0.03738732492667623,0.018693662463338114,160.76549718470778,8600,5.0,Net-Zero 2050,2050,Low Risk (<20%)
Guatemala,Huehuetenango,ssp245,near_term,0.033106872094213036,0.016553436047106518,142.35955000511606,8600,5.0,Delayed Transition,2030,Low Risk (<20%)
Guatemala,Huehuetenango,ssp245,mid_term,0.03879459524084814,0.01939729762042407,166.816759535647,8600,5.0,Delayed Transition,2050,Low Risk (<20%)
Guatemala,Huehuetenango,ssp585,near_term,0.03717169401369757,0.018585847006848785,159.83828425889953,8600,5.0,Current Policies,2030,Low Risk (<20%)
Guatemala,Huehuetenango,ssp585,mid_term,0.05013938304461772,0.02506969152230886,215.5993470918562,8600,5.0,Current Policies,2050,Low Risk (<20%)
Guatemala,Antigua,ssp126,near_term,0.03513148751049303,0.017565743755246516,121.20363191120096,6900,4.0,Net-Zero 2050,2030,Low Risk (<20%)
Guatemala,Antigua,ssp126,mid_term,0.034735098472423856,0.017367549236211928,119.83608972986231,6900,4.0,Net-Zero 2050,2050,Low Risk (<20%)
Guatemala,Antigua,ssp245,near_term,0.028587431828468117,0.014293715914234058,98.626639808215,6900,4.0,Delayed Transition,2030,Low Risk (<20%)
Guatemala,Antigua,ssp245,mid_term,0.04513787365376487,0.022568936826882435,155.72566410548882,6900,4.0,Delayed Transition,2050,Low Risk (<20%)
Guatemala,Antigua,ssp585,near_term,0.03692564206544777,0.018462821032723883,127.39346512579479,6900,4.0,Current Policies,2030,Low Risk (<20%)
Guatemala,Antigua,ssp585,mid_term,0.0681984852062073,0.03409924260310365,235.2847739614152,6900,4.0,Current Policies,2050,Low Risk (<20%)
Guatemala,Atitlán,ssp126,near_term,0.037731487510493024,0.018865743755246512,113.19446253147908,6000,3.5,Net-Zero 2050,2030,Low Risk (<20%)
