country,region_name,scenario,period,stress_index,yield_loss_pct,volume_at_risk_mt,annual_mt,sourcing_pct,scenario_name,year,risk_bucket,supply_shock_pct,price_increase_pct,elasticity_multiplier,adjusted_coffee_price_usd_kg,cost_green_coffee_usd,cost_green_coffee_adjusted_usd,profit_at_risk_usd,cost_green_M,cost_green_adjusted_M,profit_at_risk_M,pct_of_total_volume,vulnerability_score,risk_category
Ethiopia,Yirgacheffe,ssp585,mid_term,0.018180509084602822,0.009090254542301411,54.54152725380847,6000,3.5,Current Policies,2050,Low Risk (<20%),0.00031710190263842134,0.0002536815221107371,1.0002536815221108,3.500887885327388,190895.34538832965,190943.77201011163,1124950.7098000639,0.19089534538832964,0.19094377201011162,1.124950709800064,0.031710190263842135,0.009090254542301411,Low Risk (<20% loss)
Ethiopia,Sidamo,ssp585,mid_term,0.017180509084602818,0.008590254542301409,36.938094531896056,4300,2.5,Current Policies,2050,Low Risk (<20%),0.0002147563635575352,0.00017180509084602818,1.0001718050908461,3.5006013178179614,129283.3308616362,129305.54239603977,761869.6753567122,0.1292833308616362,0.12930554239603978,0.7618696753567122,0.02147563635575352,0.008590254542301409,Low Risk (<20% loss)
Ethiopia,Harrar,ssp585,mid_term,0.020132103840704074,0.010066051920352037,26.171734992915297,2600,1.5,Current Policies,2050,Low Risk (<20%),0.00015216124995880986,0.0001217289999670479,1.000121728999967,3.500426051499885,91601.07247520355,91612.22298215187,539807.250353874,0.09160107247520355,0.09161222298215187,0.539807250353874,0.015216124995880986,0.010066051920352037,Low Risk (<20% loss)
Ethiopia,Kaffa,ssp585,mid_term,0.052960770569648555,0.026480385284824277,22.77313134494888,860,0.5,Current Policies,2050,Low Risk (<20%),0.0001324019264241214,0.00010592154113929713,1.0001059215411392,3.5003707253939873,79705.95970732108,79714.40228541127,469709.07418221317,0.07970595970732107,0.07971440228541127,0.4697090741822132,0.01324019264241214,0.026480385284824277,Low Risk (<20% loss)
Kenya,Central Highlands,ssp585,mid_term,0.06898057910846546,0.03449028955423273,175.90047672658693,5100,3.0,Current Policies,2050,Low Risk (<20%),0.0010226771902708542,0.0008181417522166835,1.0008181417522166,3.502863496132758,615651.6685430543,616155.3588779111,3628049.6002048836,0.6156516685430543,0.6161553588779111,3.6280496002048834,0.10226771902708542,0.03449028955423273,Low Risk (<20% loss)
Kenya,Rift Valley,ssp585,mid_term,0.050299657772605616,0.025149828886302808,65.3895551043873,2600,1.5,Current Policies,2050,Low Risk (<20%),0.0003801718320022517,0.00030413746560180137,1.0003041374656019,3.5010644811296068,228863.44286535555,228933.04881283754,1348697.5912111886,0.22886344286535557,0.22893304881283755,1.3486975912111885,0.03801718320022517,0.025149828886302808,Low Risk (<20% loss)
Costa Rica,Tarrazú,ssp585,mid_term,0.08698393242247403,0.043491966211237014,300.09456685753537,6900,4.0,Current Policies,2050,Low Risk (<20%),0.00174473585382288,0.0013957886830583042,1.0013957886830582,3.504885260390704,1050330.9840013739,1051797.0241023083,6189624.915022051,1.050330984001374,1.0517970241023082,6.189624915022051,0.17447358538228802,0.043491966211237014,Low Risk (<20% loss)
Costa Rica,West Valley,ssp585,mid_term,0.11180347496513263,0.05590173748256631,335.41042489539785,6000,3.5,Current Policies,2050,Low Risk (<20%),0.0019500606098569642,0.0015600484878855714,1.0015600484878855,3.5054601697075993,1173936.4871338925,1175767.8849755193,6918035.019528568,1.1739364871338924,1.1757678849755193,6.918035019528568,0.19500606098569642,0.05590173748256631,Low Risk (<20% loss)
Mexico,Chiapas,ssp585,mid_term,0.11821915599383648,0.05910957799691824,407.85608817873583,6900,4.0,Current Policies,2050,Low Risk (<20%),0.002371256326620557,0.0018970050612964456,1.0018970050612965,3.5066395177145377,1427496.3086255754,1430204.2763480202,8412268.94431909,1.4274963086255754,1.4302042763480203,8.41226894431909,0.2371256326620557,0.05910957799691824,Low Risk (<20% loss)
Mexico,Veracruz,ssp585,mid_term,0.12426899647331446,0.06213449823665723,211.2572940046346,3400,2.0,Current Policies,2050,Low Risk (<20%),0.001228240081422294,0.0009825920651378352,1.0009825920651378,3.5034390722279825,739400.5290162211,740127.0581089911,4357304.512853731,0.7394005290162211,0.7401270581089912,4.357304512853731,0.12282400814222941,0.06213449823665723,Low Risk (<20% loss)
Peru,Cajamarca,ssp585,mid_term,0.06038152063882444,0.03019076031941222,129.82026937347254,4300,2.5,Current Policies,2050,Low Risk (<20%),0.0007547690079853054,0.0006038152063882443,1.0006038152063883,3.502113353222359,454370.9428071539,454645.29889176186,2677618.5327286706,0.4543709428071539,0.45464529889176186,2.677618532728671,0.07547690079853055,0.03019076031941222,Low Risk (<20% loss)
Honduras,Copán,ssp585,mid_term,0.09721331064566038,0.04860665532283019,150.6806315007736,3100,1.8,Current Policies,2050,Low Risk (<20%),0.0008760501831440325,0.000700840146515226,1.0007008401465152,3.502452940512803,527382.2102527076,527751.8208782106,3107875.6297217705,0.5273822102527076,0.5277518208782106,3.1078756297217707,0.08760501831440325,0.04860665532283019,Low Risk (<20% loss)
Rwanda,Northern Province,ssp585,mid_term,0.02994632866652682,0.01497316433326341,50.908758733095596,3400,2.0,Current Policies,2050,Low Risk (<20%),0.0002959811554249744,0.00023678492433997953,1.0002367849243399,3.5008287472351896,178180.65556583458,178222.84605888155,1050022.7469856394,0.17818065556583457,0.17822284605888156,1.0500227469856394,0.029598115542497437,0.01497316433326341,Low Risk (<20% loss)
Tanzania,Kilimanjaro,ssp585,mid_term,0.048808042408665646,0.024404021204332823,82.9736720947316,3400,2.0,Current Policies,2050,Low Risk (<20%),0.000482405070318207,0.0003859240562545656,1.0003859240562545,3.501350734196891,290407.85233156057,290519.9277079005,1711380.2274608712,0.2904078523315606,0.2905199277079005,1.7113802274608712,0.0482405070318207,0.024404021204332823,Low Risk (<20% loss)
Indonesia,Sumatra Aceh,ssp585,mid_term,0.3806209955457598,0.23546574665931982,1624.7136519493067,6900,4.0,Current Policies,2050,Moderate Risk (20–40%),0.009446009604356435,0.007556807683485148,1.007556807683485,3.5264488268921976,5686497.781822573,5729469.551952371,33510663.672414895,5.686497781822573,5.729469551952372,33.51066367241489,0.9446009604356435,0.23546574665931982,Medium Risk (20-40%)
Indonesia,Java West,ssp585,mid_term,0.26396414009667934,0.1479731050725095,503.10855724653226,3400,2.0,Current Policies,2050,Low Risk (<20%),0.002925049751433327,0.0023400398011466615,1.0023400398011466,3.508190139304013,1760879.9503628628,1765000.4795317529,10376906.498184873,1.7608799503628627,1.7650004795317529,10.376906498184873,0.2925049751433327,0.1479731050725095,Low Risk (<20% loss)
China,Yunnan Pu er,ssp585,mid_term,0.1808785361754708,0.0904392680877354,307.4935114983004,3400,2.0,Current Policies,2050,Low Risk (<20%),0.001787752973827328,0.0014302023790618624,1.0014302023790618,3.505005708326716,1076227.2902440515,1077766.5130749696,6342232.449949831,1.0762272902440515,1.0777665130749696,6.34223244994983,0.1787752973827328,0.0904392680877354,Low Risk (<20% loss)
Vietnam,Central Highlands,ssp585,mid_term,0.32701369911711664,0.1952602743378375,507.67671327837746,2600,1.5,Current Policies,2050,Low Risk (<20%),0.0029516087981301016,0.0023612870385040815,1.0023612870385041,3.5082645046347647,1776868.4964743212,1781064.1930241724,10471127.372246351,1.7768684964743213,1.7810641930241724,10.47112737224635,0.29516087981301015,0.1952602743378375,Low Risk (<20% loss)
