country,region_name,scenario,period,stress_index,yield_loss_pct,volume_at_risk_mt,annual_mt,sourcing_pct,scenario_name,year,risk_bucket,supply_shock_pct,price_increase_pct,elasticity_multiplier,adjusted_coffee_price_usd_kg,cost_green_coffee_usd,cost_green_coffee_adjusted_usd,profit_at_risk_usd,cost_green_M,cost_green_adjusted_M,profit_at_risk_M,pct_of_total_volume
Colombia,Huila,ssp126,near_term,0.021267598037607967,0.010633799018803984,109.52812989368103,10300,6.0,Net-Zero 2050,2030,Low Risk (<20%),0.0006367914528702385,0.0005094331622961908,1.0005094331622961,3.5017830160680363,383348.45462788356,383543.74504338595,2259081.3582024584,0.3833484546278836,0.38354374504338595,2.2590813582024585,0.06367914528702386
Colombia,Huila,ssp126,mid_term,0.0168162102913484,0.0084081051456742,86.60348300044426,10300,6.0,Net-Zero 2050,2050,Low Risk (<20%),0.0005035086220956061,0.0004028068976764849,1.0004028068976765,3.5014098241418674,303112.1905015549,303234.28618265875,1786247.187746373,0.3031121905015549,0.30323428618265874,1.786247187746373,0.05035086220956061
Colombia,Huila,ssp245,near_term,0.03540787668060511,0.017703938340302556,182.35056490511633,10300,6.0,Delayed Transition,2030,Low Risk (<20%),0.0010601777029367228,0.0008481421623493783,1.0008481421623494,3.502968497568223,638226.9771679072,638768.2843763921,3761086.4189383187,0.6382269771679072,0.6387682843763921,3.761086418938319,0.10601777029367228
Colombia,Huila,ssp245,mid_term,0.027472401982173322,0.013736200991086661,141.48287020819262,10300,6.0,Delayed Transition,2050,Low Risk (<20%),0.0008225748267918176,0.0006580598614334541,1.0006580598614334,3.502303209515017,495190.04572867416,495515.9104215496,2918166.4555266527,0.49519004572867414,0.4955159104215496,2.9181664555266527,0.08225748267918176
Colombia,Huila,ssp585,near_term,0.048499661537818615,0.024249830768909308,249.77325691976586,10300,6.0,Current Policies,2030,Low Risk (<20%),0.0014521700983707317,0.0011617360786965855,1.0011617360786966,3.5040660762754383,874206.3992191805,875221.9963333809,5151718.640980009,0.8742063992191804,0.8752219963333809,5.151718640980009,0.14521700983707317
Colombia,Huila,ssp585,mid_term,0.02080606544110924,0.01040303272055462,107.15123702171259,10300,6.0,Current Policies,2050,Low Risk (<20%),0.0006229723082657708,0.0004983778466126166,1.0004983778466126,3.5017443224631437,375029.32957599405,375216.23588568467,2210056.560803649,0.37502932957599405,0.37521623588568465,2.210056560803649,0.06229723082657708
Colombia,Antioquia,ssp126,near_term,0.053624884337419645,0.026812442168709823,252.03695638587234,9400,5.5,Net-Zero 2050,2030,Low Risk (<20%),0.0014653311417783276,0.0011722649134226623,1.0011722649134227,3.5041029271969792,882129.3473505533,883163.4366335527,5198408.758572796,0.8821293473505533,0.8831634366335527,5.198408758572796,0.14653311417783277
Colombia,Antioquia,ssp126,mid_term,0.07004189281980508,0.03502094640990254,329.1968962530839,9400,5.5,Net-Zero 2050,2050,Low Risk (<20%),0.001913935443331883,0.0015311483546655066,1.0015311483546656,3.5053590192413298,1152189.1368857936,1153953.309387,6789877.37876419,1.1521891368857937,1.153953309387,6.7898773787641895,0.1913935443331883
Colombia,Antioquia,ssp245,near_term,0.0949274745255243,0.04746373726276215,446.15913026996424,9400,5.5,Delayed Transition,2030,Low Risk (<20%),0.0025939484318021175,0.002075158745441694,1.0020751587454417,3.5072630556090463,1561556.9559448748,1564797.4345185093,9202291.456661195,1.5615569559448748,1.5647974345185094,9.202291456661195,0.2593948431802118
Colombia,Antioquia,ssp245,mid_term,0.13425281870225445,0.06712640935112722,630.9882479005959,9400,5.5,Delayed Transition,2050,Low Risk (<20%),0.0036685363250034643,0.0029348290600027718,1.0029348290600029,3.51027190171001,2208458.8676520856,2214940.316914692,13014499.466582293,2.2084588676520855,2.214940316914692,13.014499466582294,0.3668536325003464
Colombia,Antioquia,ssp585,near_term,0.10139355706027708,0.05069677853013854,476.5497181833023,9400,5.5,Current Policies,2030,Low Risk (<20%),0.002770637896414548,0.0022165103171316383,1.0022165103171317,3.507757786109961,1667924.013641558,1671620.9844259862,9829115.001320252,1.6679240136415578,1.6716209844259862,9.829115001320252,0.2770637896414548
Colombia,Antioquia,ssp585,mid_term,0.1720769786334131,0.08603848931670655,808.7617995770415,9400,5.5,Current Policies,2050,Low Risk (<20%),0.004702103485913032,0.0037616827887304257,1.0037616827887303,3.513165889760556,2830666.2985196454,2841314.3672154257,16681182.326625077,2.8306662985196454,2.8413143672154257,16.681182326625077,0.47021034859130323
Colombia,Tolima,ssp126,near_term,0.040027310418803246,0.020013655209401623,120.08193125640973,6000,3.5,Net-Zero 2050,2030,Low Risk (<20%),0.0006981507631186613,0.0005585206104949291,1.000558520610495,3.5019548221367325,420286.75939743407,420521.4982148757,2476759.6472397633,0.4202867593974341,0.4205214982148757,2.4767596472397635,0.06981507631186613
Colombia,Tolima,ssp126,mid_term,0.03311397484983317,0.016556987424916587,99.34192454949952,6000,3.5,Net-Zero 2050,2050,Low Risk (<20%),0.00057756932877616,0.0004620554630209281,1.000462055463021,3.5016171941205734,347696.73592324834,347857.39109955623,2048984.950766306,0.34769673592324835,0.3478573910995562,2.048984950766306,0.057756932877616005
Colombia,Tolima,ssp245,near_term,0.04253904838594608,0.02126952419297304,127.61714515783822,6000,3.5,Delayed Transition,2030,Low Risk (<20%),0.0007419601462665012,0.000593568117013201,1.0005935681170133,3.5020774884095465,446660.0080524338,446925.1311923586,2632177.814895041,0.4466600080524338,0.4469251311923586,2.6321778148950408,0.07419601462665013
